страна,город,url,почта
Россия,Москва,https://met-trans.ru,
Россия,Санкт-Петербург,https://spb.met-trans.ru,
Россия,Екатеринбург,https://ekb.met-trans.ru,
Беларусь,Минск,https://met-trans.by,
Казахстан,Алматы,https://mettransterminal.kz,
Армения,Ереван,https://met-trans.am,
Азербайджан,Баку,https://met-trans.az,
Узбекистан,Ташкент,https://met-trans.uz,
Кыргызстан,Бишкек,https://mtt.kg,
