city,country,yandex_url,2gis_url
Нижневартовск,Россия,https://yandex.ru/maps/org/stalmetural/134117193766/reviews/,https://2gis.ru/nizhnevartovsk/firm/70000001026738794/tab/reviews
Мурманск,Россия,https://yandex.ru/maps/org/stalmetural/172664017642/reviews/,https://2gis.ru/murmansk/firm/70000001061169450/tab/reviews
Кострома,Россия,https://yandex.ru/maps/org/stalmetural/133698277407/reviews/,https://2gis.ru/kostroma/firm/70000001061161731/tab/reviews
Новороссийск,Россия,https://yandex.ru/maps/org/stalmetural/225439264735/reviews/,https://2gis.ru/novorossiysk/firm/70000001061199732/tab/reviews
Тамбов,Россия,https://yandex.ru/maps/org/stalmetural/213964461482/reviews/,https://2gis.ru/tambov/firm/70000001061170289/tab/reviews
Таганрог,Россия,https://yandex.ru/maps/org/stalmetural/9688785610/reviews/,https://2gis.ru/taganrog/firm/70000001061189712/tab/reviews
Благовещенск,Россия,https://yandex.ru/maps/org/stalmetural/40082372510/reviews/,
Великий Новгород,Россия,https://yandex.ru/maps/org/stalmetural/223424281709/reviews/,https://2gis.ru/v_novgorod/firm/70000001061281811/tab/reviews
Сыктывкар,Россия,https://yandex.ru/maps/org/stalmetural/206486140011/reviews/,https://2gis.ru/syktyvkar/firm/70000001061194495/tab/reviews
Абакан,Россия,https://yandex.ru/maps/org/stalmetural/17648599690/reviews/,
Южно-Сахалинск,Россия,https://yandex.ru/maps/org/stalmetural/26709782529/reviews/,
Пятигорск,Россия,https://yandex.ru/maps/org/stalmetural/199869272800/reviews/,
Новый Уренгой,Россия,https://yandex.ru/maps/org/stalmetural/158562457429/reviews/,
Ноябрьск,Россия,https://yandex.ru/maps/org/stalmetural/1062249591/reviews/,
Алматы,Казахстан,https://yandex.ru/maps/org/stalmetgrupp/210005587496/reviews/,
Шымкент,Казахстан,https://yandex.ru/maps/org/stalmetural/239814819262/reviews/,
Актобе,Казахстан,https://yandex.ru/maps/org/stalmetgrupp/206195009637/reviews/,
Караганда,Казахстан,https://yandex.ru/maps/org/stalmetgrupp/34015807316reviews/,
Тараз,Казахстан,https://yandex.ru/maps/org/stalmetural/186427244557/reviews/,
Усть-Каменогорск,Казахстан,https://yandex.ru/maps/org/stalmetural/152338535410/reviews/,
Павлодар,Казахстан,https://yandex.ru/maps/org/stalmetgrupp/80950126806/reviews/,
Астана,Казахстан,https://yandex.ru/maps/org/stalmetgrupp/132927746462/reviews/,
Атырау,Казахстан,https://yandex.ru/maps/org/stalmetural/17843085929/reviews/,
Семей,Казахстан,https://yandex.ru/maps/org/stalmetural/243183974904/reviews/,
Кызылорда,Казахстан,https://yandex.ru/maps/org/stalmetural/6815881426/reviews/,
Актау,Казахстан,https://yandex.ru/maps/org/stalmetural/129042211206/reviews/,
Костанай,Казахстан,https://yandex.ru/maps/org/stalmetural/188617825069/reviews/,
Уральск,Казахстан,https://yandex.ru/maps/org/stalmetural/143745058451/reviews/,
Туркестан,Казахстан,https://yandex.ru/maps/org/stalmetgrupp/198430759625/reviews/,
Петропавловск,Казахстан,https://yandex.ru/maps/org/stalmetural/225962241906/reviews/,
Кокшетау,Казахстан,https://yandex.ru/maps/org/stalmetgrupp/197556572725/reviews/,
Темиртау,Казахстан,https://yandex.ru/maps/org/stalmetgrupp/80020614597/reviews/,
Талдыкорган,Казахстан,https://yandex.ru/maps/org/stalmetgrupp/49120077806/reviews/,
Экибастуз,Казахстан,https://yandex.ru/maps/org/stalmetgrupp/4961174096/reviews/,
Жезказган,Казахстан,https://yandex.ru/maps/org/stalmetgrupp/204664579178/reviews/,
Жанаозен,Казахстан,https://yandex.ru/maps/org/stalmetgrupp/199861757519/reviews/,
Минск,Беларусь,https://yandex.ru/maps/org/stalmetural/88250245837/reviews/,
Гомель,Беларусь,https://yandex.ru/maps/org/stalmetural/113286734819/reviews/,
Могилев,Беларусь,https://yandex.ru/maps/org/stalmetgrupp/88641711411/reviews/,
Витебск,Беларусь,https://yandex.ru/maps/org/stalmetural/199823320618/reviews/,
Гродно,Беларусь,https://yandex.ru/maps/org/stalmetgrupp/206440723365/reviews/,
Брест,Беларусь,https://yandex.ru/maps/org/stalmetural/216176370867/reviews/,
Баку,Азербайджан,https://yandex.ru/maps/org/stalmetgrupp/215378262837/reviews/,
Сумгаит,Азербайджан,https://yandex.ru/maps/org/stalmetgrupp/23886675620/reviews/,
Гянджа,Азербайджан,https://yandex.ru/maps/org/stalmetgrupp/114808346802/reviews/,
Ереван,Армения,https://yandex.ru/maps/org/stalmetgrupp/30074101164/reviews/,
Гюмри,Армения,https://yandex.ru/maps/org/stalmetgrupp/93196407888/reviews/,
Ванадзор,Армения,https://yandex.ru/maps/org/stalmetgrupp/182799585923/reviews/,
Бишкек,Киргизия,https://yandex.ru/maps/org/stalmetgrupp/175467360016/reviews/,
Ош,Киргизия,https://yandex.ru/maps/org/stalmetgrupp/98941568385/reviews/,
Джалал-Абад,Киргизия,https://yandex.ru/maps/org/stalmetgrupp/69821197088/reviews/,
Каракол,Киргизия,https://yandex.ru/maps/org/stalmetgrupp/90407173136/reviews/,
Ташкент,Узбекистан,https://yandex.ru/maps/org/stalmetgrupp/85356175541/reviews/,
Наманган,Узбекистан,https://yandex.ru/maps/org/stalmetgrupp/129575744421/reviews/,
Самарканд,Узбекистан,https://yandex.ru/maps/org/stalmetgrupp/34545773619/reviews/,
